tract_geoid,freq_peak_am_tph,freq_early_tph,weekend_weekday_ratio,rail_trip_share,headway_peak_am_min,headway_early_min,neighbor_mean_equity_score,neighbor_mean_headway_peak,n_neighbors,trend_commute_public_transit_pct,trend_commute_drove_alone_pct,trend_commute_wfh_pct,trend_mean_commute_time_min,equity_priority_score,equity_tier,composite_need,composite_access_deficit,deficit_actual,deficit_predicted,residual,risk_tier,projected_need_2027,projected_need_category_2027,proj_pov_2027,proj_veh_2027,flag_worsening,flag_fragile,tract_status
12086000107,25.33333333333333,5.5,0.7156862745098039,0.0,16.660690476190474,9.015000000000002,0.0634017581929488,11.500692038397176,3,0.8828571428575047,-5.774285714286776,3.274285714285744,-0.9571428571431616,0.1187797921547306,Moderate,0.2132084329992762,0.5571064450116466,0.4142519690819966,0.3730377,0.0412142731972919,Moderate,63.81561904761905,High,23.24,26.94571428571428,True,False,3. Stable / Low-Moderate
12086000109,102.33333333333331,15.5,0.759581881533101,0.0,23.47063602186447,21.50526315789473,0.1129855532576876,30.548447281853424,6,0.0085714285716644,-3.411428571429896,2.9057142857153,0.2028571428573807,0.1052782637963104,Moderate,0.1849068476471803,0.5693583830772525,0.3502189260213861,0.31915584,0.031063083955575,Low,14.843809523809526,Low,9.328571428571427,2.737142857142858,False,False,3. Stable / Low-Moderate
12086000141,0.0,0.0,0.0,0.0,120.0,120.0,0.1027239457436667,26.99051207024044,0,-0.3514285714289492,-6.011428571430853,5.817142857144645,-1.162857142857312,0.0702057320201025,Low,0.1352340166126787,0.5191425484401424,0.5803295124931689,0.57364,0.0066895235939379,High,36.678666666666665,Moderate,25.21,4.819999999999999,True,False,3. Stable / Low-Moderate
12086000115,3.0,0.0,0.5348837209302325,0.0,18.28888888888888,120.0,0.0737995711299207,16.8814947786132,1,-1.1428571428572707,-3.908571428573112,1.99428571428636,-0.7742857142860685,0.0702436545259182,Low,0.1443098404323795,0.4867558186985375,0.4481192708560044,0.4672014,-0.0190821408680861,High,33.092190476190474,Low,13.008571428571427,13.11142857142857,True,False,3. Stable / Low-Moderate
12086000118,20.0,0.0,0.7485029940119761,0.0,9.015277777777778,120.0,0.0953099765525741,16.991442207165285,5,1.425714285715049,-6.168571428573292,3.95142857142905,0.3685714285714511,0.0573104849699577,Low,0.1252723882772109,0.4574869670652191,0.3129900724955926,0.40639767,-0.0934075980118384,Moderate,13.76761904761905,Low,0.0,10.325714285714287,False,False,3. Stable / Low-Moderate
12086000144,0.0,0.0,0.0,0.0,120.0,120.0,0.1027239457436667,26.99051207024044,0,-0.1714285714285496,-9.597142857146384,5.511428571430537,-4.211428571430533,0.0647825531349871,Low,0.1243816814317969,0.5208367694442997,0.577503419844545,0.5718269,0.0056765446347366,High,30.130666666666663,Low,16.02,8.18,True,False,3. Stable / Low-Moderate
12086000120,34.666666666666664,4.0,0.6205962059620597,0.0,32.88846153846154,29.792708333333334,0.1203951333613134,25.054920235946756,4,0.1285714285715926,-3.291428571429495,3.494285714286458,0.6685714285717428,0.0901145076925001,Moderate,0.174028171200961,0.5178156333576558,0.3429350403204612,0.37635505,-0.0334200116738624,Moderate,24.50209523809524,Low,11.32,8.188571428571429,True,False,3. Stable / Low-Moderate
12086000121,3.6666666666666665,0.0,0.5114942528735632,0.0,56.39333333333334,120.0,0.0519319594144443,60.0,3,0.0,-5.36285714285902,3.4285714285725097,-1.1657142857142586,0.0736394773034342,Low,0.1472494954146216,0.5001000315558428,0.3901320511666376,0.4212545,-0.0311224346789281,Moderate,21.09904761904762,Low,17.15714285714286,0.3828571428571425,False,False,3. Stable / Low-Moderate
12086000122,2.0,0.0,0.5,0.0,60.0,120.0,0.0841223090808561,39.02291304208868,4,0.6628571428576051,-0.3742857142859587,3.054285714286644,0.4514285714287115,0.0519319594144443,Low,0.1013823175165288,0.5122388271108281,0.4621581561735677,0.5252499,-0.0630917422601175,High,7.333333333333333,Low,0.0,5.5,False,False,3. Stable / Low-Moderate
12086000123,72.0,11.166666666666666,0.7387242268041238,0.0,16.8814947786132,27.0,0.0983729851750565,20.3662037037037,3,0.6771428571431354,-5.017142857144559,5.111428571430333,-1.3542857142859488,0.0737995711299207,Low,0.1411921329355327,0.5226889742052208,0.3508341257745028,0.33663085,0.0142032747441531,Low,14.864761904761904,Low,11.142857142857142,1.1200000000000003,False,False,3. Stable / Low-Moderate
