GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086018801,Census Tract 188.01; Miami-Dade County; Florida,61.6,0.0,78.9,0.4,0.0,7.5,33.7,118750,117148,35037,6.1,0.0,1.9,8.9,9.3,8.0,11.2,28.9,13.6,12.3,7.1,9.1,2.1,0.0,21.2,39.2,39.7,73.1,26.9,1878,0.0,47.2,829,95.2,4.8,2729,49.5,20.6,28.6,69.0,3.0,24.7,2.5,56.0,45.8,2022
12086018802,Census Tract 188.02; Miami-Dade County; Florida,64.0,5.1,80.1,1.1,0.0,0.0,28.4,61653,79447,32495,11.5,2.1,0.0,9.7,17.5,14.2,15.1,11.3,14.0,4.6,12.3,8.7,8.6,0.9,39.7,50.8,8.6,23.1,76.9,1806,0.4,55.5,1069,97.0,3.0,2654,42.9,19.1,20.5,65.4,4.7,26.1,1.6,67.7,61.7,2022
12086018803,Census Tract 188.03; Miami-Dade County; Florida,64.2,1.3,88.9,3.6,0.0,5.9,28.9,78929,82209,27321,8.4,2.8,6.9,8.3,11.2,10.8,12.8,20.8,16.1,1.9,19.7,6.7,19.3,2.5,25.1,59.6,12.8,64.2,35.8,1786,1.0,56.5,1297,95.3,4.7,3654,33.5,28.4,9.7,68.4,0.8,16.7,2.0,60.9,41.5,2022
12086018901,Census Tract 189.01; Miami-Dade County; Florida,69.8,5.5,75.7,1.9,0.0,10.4,29.5,100142,95048,34033,2.1,3.1,2.5,8.1,3.8,16.2,13.5,36.8,11.8,1.9,2.4,14.0,16.8,3.4,29.2,52.3,15.1,82.6,17.4,1963,11.8,26.5,1123,95.5,4.5,3091,37.4,24.9,14.6,63.2,11.4,12.2,0.0,49.0,35.1,2022
12086018902,Census Tract 189.02; Miami-Dade County; Florida,60.7,1.1,82.2,2.8,0.0,7.1,29.5,93229,117728,38650,1.4,0.0,5.9,8.4,11.5,14.7,11.8,13.5,7.4,25.3,6.0,2.1,7.3,0.0,17.0,59.7,23.3,94.4,5.6,-666666666,0.0,100.0,1081,100.0,0.0,3357,47.3,22.1,21.3,50.8,1.2,27.4,11.2,63.9,51.7,2022
12086019000,Census Tract 190; Miami-Dade County; Florida,61.9,3.5,79.0,2.7,0.0,10.7,30.9,78585,95101,35707,9.5,0.9,4.8,4.5,14.0,15.3,13.9,14.2,15.5,7.5,11.0,8.4,12.4,0.6,28.1,44.9,26.4,78.7,21.3,2174,11.7,32.5,2111,98.4,1.6,5686,43.7,18.0,18.5,51.3,4.1,39.4,2.5,77.3,55.9,2022
12086019100,Census Tract 191; Miami-Dade County; Florida,57.6,0.0,78.9,0.0,0.0,11.4,27.4,61382,86122,37689,8.9,9.0,11.7,11.0,4.1,10.0,16.0,14.0,3.1,12.1,13.0,9.9,7.4,7.5,46.9,34.4,11.1,51.1,48.9,1796,0.0,52.0,2314,97.9,2.1,5364,50.5,14.8,27.8,52.4,1.0,36.1,0.0,79.1,56.8,2022
12086019200,Census Tract 192; Miami-Dade County; Florida,65.0,2.2,82.8,0.2,0.2,11.1,28.5,82361,96901,32890,4.8,4.7,5.0,6.4,5.8,15.2,13.5,25.0,14.8,4.9,12.6,9.5,9.0,3.7,29.4,44.1,22.8,79.5,20.5,1880,10.1,42.0,1743,97.2,2.8,5210,39.7,24.2,15.6,63.4,1.3,30.0,3.5,59.1,43.1,2022
12086019301,Census Tract 193.01; Miami-Dade County; Florida,58.8,2.1,79.1,0.0,0.0,8.7,33.9,79448,84811,26506,2.2,3.3,10.7,0.0,10.8,19.2,26.7,13.0,6.5,7.7,16.8,8.0,11.0,2.1,30.9,58.3,8.7,63.5,36.5,2118,6.4,61.1,952,90.4,9.6,2955,31.7,24.7,5.8,43.9,16.9,27.4,4.1,57.4,39.1,2022
12086019302,Census Tract 193.02; Miami-Dade County; Florida,66.9,2.3,73.2,1.6,2.4,10.7,32.7,79766,99224,34602,5.8,4.4,3.4,2.5,9.9,20.2,18.3,10.5,17.8,7.2,7.8,7.7,6.4,0.4,35.0,34.3,30.3,62.0,38.0,1976,7.2,55.6,1789,94.5,5.5,5024,37.4,19.0,12.6,43.2,12.1,30.0,7.3,60.3,49.3,2022
