GEOID,NAME,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct
12086000227,Census Tract 2.27; Miami-Dade County; Florida,21.2,31.3,26.8,20.7,53.0,47.0,1342,9.7,55.4,876,97.5,2.5
12086000228,Census Tract 2.28; Miami-Dade County; Florida,4.1,51.7,28.8,15.5,31.0,69.0,1523,7.9,68.6,1133,95.7,4.3
12086000302,Census Tract 3.02; Miami-Dade County; Florida,4.9,21.5,46.4,27.2,84.8,15.2,2608,0.0,96.8,729,84.8,15.2
12086000306,Census Tract 3.06; Miami-Dade County; Florida,17.6,47.1,17.6,17.8,26.6,73.4,1396,6.9,59.7,1988,88.2,11.8
12086000307,Census Tract 3.07; Miami-Dade County; Florida,7.2,32.5,42.8,17.5,78.9,21.1,1782,0.0,82.8,1207,95.6,4.4
12086000308,Census Tract 3.08; Miami-Dade County; Florida,4.5,21.5,44.8,29.2,87.2,12.8,2038,0.0,48.5,1356,93.1,6.9
12086000309,Census Tract 3.09; Miami-Dade County; Florida,9.4,42.3,38.5,9.7,22.5,77.5,1485,6.3,54.6,1252,90.2,9.8
12086000310,Census Tract 3.10; Miami-Dade County; Florida,15.5,34.9,43.1,6.4,61.2,38.8,1641,0.0,87.3,1352,94.5,5.5
12086000311,Census Tract 3.11; Miami-Dade County; Florida,4.3,42.4,20.6,32.6,68.8,31.2,1409,0.0,100.0,1323,95.7,4.3
12086000312,Census Tract 3.12; Miami-Dade County; Florida,16.3,42.1,27.9,13.6,31.9,68.1,1407,0.0,82.0,1412,87.2,12.8
12086000402,Census Tract 4.02; Miami-Dade County; Florida,5.1,37.2,36.8,20.9,60.8,39.2,2051,0.0,70.8,1338,94.9,5.1
12086000405,Census Tract 4.05; Miami-Dade County; Florida,8.4,31.1,45.3,15.1,85.5,14.5,1612,16.6,55.8,1139,98.9,1.1
12086000408,Census Tract 4.08; Miami-Dade County; Florida,20.9,40.0,27.6,11.6,37.5,62.5,1216,10.6,52.2,1973,93.8,6.2
12086000409,Census Tract 4.09; Miami-Dade County; Florida,6.4,38.0,36.1,19.6,50.9,49.1,1711,4.0,61.8,1270,95.0,5.0
12086000410,Census Tract 4.10; Miami-Dade County; Florida,0.0,17.7,49.7,32.5,85.4,14.6,1884,0.0,48.6,1229,96.5,3.5
12086000411,Census Tract 4.11; Miami-Dade County; Florida,14.0,50.3,21.9,13.8,36.5,63.5,1564,10.0,53.0,2151,96.8,3.2
12086000413,Census Tract 4.13; Miami-Dade County; Florida,4.0,50.9,16.7,28.5,71.8,28.2,-666666666,7.5,21.3,1534,95.6,4.4
12086000414,Census Tract 4.14; Miami-Dade County; Florida,9.8,62.5,15.7,12.0,29.5,70.5,1349,15.5,53.2,2087,90.2,9.8
12086000415,Census Tract 4.15; Miami-Dade County; Florida,10.9,21.4,54.5,13.2,79.6,20.4,1452,0.0,69.4,740,95.4,4.6
12086000416,Census Tract 4.16; Miami-Dade County; Florida,29.3,24.8,32.5,13.5,45.0,55.0,-666666666,6.2,46.5,1905,92.7,7.3
12086000417,Census Tract 4.17; Miami-Dade County; Florida,20.9,50.2,24.4,4.5,33.3,66.7,1263,2.0,58.9,1788,93.5,6.5
12086000418,Census Tract 4.18; Miami-Dade County; Florida,12.6,25.8,44.6,17.0,57.8,42.2,1336,0.0,84.2,962,96.7,3.3
12086000419,Census Tract 4.19; Miami-Dade County; Florida,12.1,37.1,16.7,34.1,55.3,44.7,1296,3.1,60.8,1074,95.5,4.5
12086000420,Census Tract 4.20; Miami-Dade County; Florida,13.7,29.5,30.5,26.2,94.7,5.3,-666666666,0.0,70.0,988,95.2,4.8
12086000504,Census Tract 5.04; Miami-Dade County; Florida,9.9,43.7,24.7,21.7,61.0,39.0,1058,5.8,58.7,1698,95.1,4.9
12086000505,Census Tract 5.05; Miami-Dade County; Florida,10.5,28.4,39.7,21.4,38.3,61.7,1501,11.4,41.3,1913,98.2,1.8
12086000506,Census Tract 5.06; Miami-Dade County; Florida,7.7,25.0,54.1,13.1,80.8,19.2,2831,24.5,75.5,743,97.3,2.7
