GEOID,NAME,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct
12086000127,Census Tract 1.27; Miami-Dade County; Florida,3275.0,49.5,19.0,24.1,44.3,49.1,2.4,1.6,62.1,2.4,30.0,1.2
12086000128,Census Tract 1.28; Miami-Dade County; Florida,4046.0,47.0,17.1,12.6,55.0,21.9,17.3,7.9,51.6,19.3,23.0,1.5
12086000129,Census Tract 1.29; Miami-Dade County; Florida,2006.0,65.9,9.4,52.2,26.6,65.5,0.0,1.3,69.8,0.0,19.3,5.7
12086000130,Census Tract 1.30; Miami-Dade County; Florida,3221.0,57.6,12.6,36.0,50.7,45.6,0.0,2.3,68.2,0.0,29.1,0.0
12086000131,Census Tract 1.31; Miami-Dade County; Florida,4604.0,43.5,23.5,20.4,35.1,57.7,1.2,0.1,77.5,1.2,16.1,1.5
12086000132,Census Tract 1.32; Miami-Dade County; Florida,5538.0,52.7,12.5,31.7,51.6,40.9,2.8,2.4,62.0,2.8,27.6,0.8
12086000134,Census Tract 1.34; Miami-Dade County; Florida,2952.0,49.6,16.2,22.4,45.7,40.9,9.4,2.5,55.7,9.4,25.9,1.1
12086000140,Census Tract 1.40; Miami-Dade County; Florida,3404.0,36.5,19.6,5.4,66.0,24.7,1.7,6.6,42.4,1.7,43.8,0.3
12086000141,Census Tract 1.41; Miami-Dade County; Florida,2105.0,35.7,27.1,6.0,43.7,51.5,0.0,0.6,66.7,0.0,26.2,0.0
12086000142,Census Tract 1.42; Miami-Dade County; Florida,5020.0,50.2,16.3,28.0,44.3,45.0,0.0,5.3,61.6,0.0,30.5,0.4
12086000143,Census Tract 1.43; Miami-Dade County; Florida,2831.0,54.7,12.2,28.4,62.6,35.6,0.3,0.6,61.2,0.3,36.5,0.0
12086000144,Census Tract 1.44; Miami-Dade County; Florida,1222.0,41.5,30.7,11.9,64.5,25.8,2.1,4.7,61.0,2.1,25.5,1.1
12086000145,Census Tract 1.45; Miami-Dade County; Florida,2897.0,36.9,33.1,5.4,57.4,41.2,0.0,0.0,62.6,0.0,37.1,0.2
12086000146,Census Tract 1.46; Miami-Dade County; Florida,4604.0,47.1,26.4,31.8,27.7,60.7,0.0,0.9,67.6,0.0,30.5,0.0
12086000204,Census Tract 2.04; Miami-Dade County; Florida,3776.0,41.9,22.4,21.1,23.1,14.6,51.5,4.3,25.2,51.5,15.5,1.3
12086000206,Census Tract 2.06; Miami-Dade County; Florida,6653.0,36.1,30.2,15.3,24.5,1.8,70.0,3.3,6.1,71.2,15.3,0.0
12086000211,Census Tract 2.11; Miami-Dade County; Florida,2679.0,43.5,15.3,13.5,62.8,21.1,12.9,1.1,41.1,12.9,37.7,1.8
