GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct,majority_group,income_quintile,race_majority,poverty_high,novehicle_high,income_low,transit_dependent_vulnerable
12086000127,Census Tract 1.27; Miami-Dade County; Florida,62.4,2.0,58.1,3.5,0.5,17.5,33.6,49805.0,91240.0,43488.0,6.0,6.8,17.2,4.1,16.2,14.4,4.6,8.3,10.9,11.5,18.0,8.6,17.0,7.6,60.5,28.3,3.5,76.2,23.8,1710.0,13.2,42.0,1905,80.7,19.3,3275.0,49.5,19.0,24.1,44.3,49.1,2.4,1.6,62.1,2.4,30.0,1.2,Mixed,Q2,Mixed,False,False,True,False
12086000128,Census Tract 1.28; Miami-Dade County; Florida,74.0,3.1,50.5,5.0,0.5,24.0,36.1,80551.0,117938.0,55549.0,4.2,2.1,1.8,5.3,7.3,27.9,11.0,23.1,4.9,12.3,8.7,3.0,9.0,6.6,56.8,31.9,4.7,54.5,45.5,2104.0,18.1,46.8,2702,71.0,29.0,4046.0,47.0,17.1,12.6,55.0,21.9,17.3,7.9,51.6,19.3,23.0,1.5,Mixed,Q4,Mixed,False,False,False,False
12086000129,Census Tract 1.29; Miami-Dade County; Florida,43.8,4.5,67.8,0.0,0.0,24.9,37.1,155764.0,236646.0,121556.0,1.0,0.7,4.1,3.3,12.0,9.0,7.6,10.8,18.4,33.2,2.1,1.8,3.5,5.9,49.2,38.0,6.8,82.9,17.1,3501.0,0.0,75.2,2033,48.2,51.8,2006.0,65.9,9.4,52.2,26.6,65.5,0.0,1.3,69.8,0.0,19.3,5.7,Majority White,Q5 (Highest),White-Majority,False,False,False,False
12086000130,Census Tract 1.30; Miami-Dade County; Florida,48.4,2.1,72.1,0.0,1.2,21.2,33.6,91818.0,206102.0,98760.0,3.4,8.9,9.1,3.8,14.6,3.9,11.9,11.7,4.7,27.9,9.8,3.6,4.5,3.7,58.1,36.5,1.7,73.3,26.7,2669.0,13.4,46.6,2972,51.3,48.7,3221.0,57.6,12.6,36.0,50.7,45.6,0.0,2.3,68.2,0.0,29.1,0.0,Mixed,Q4,Mixed,False,False,False,False
12086000131,Census Tract 1.31; Miami-Dade County; Florida,58.3,4.3,64.8,1.0,0.8,29.8,28.1,80814.0,136740.0,60492.0,6.8,0.7,8.0,6.8,6.4,17.7,13.4,10.9,8.5,20.7,13.4,2.7,6.1,2.6,60.3,28.5,8.6,59.3,40.7,2568.0,5.4,61.6,3015,66.4,33.6,4604.0,43.5,23.5,20.4,35.1,57.7,1.2,0.1,77.5,1.2,16.1,1.5,Majority White,Q4,White-Majority,False,False,False,False
12086000132,Census Tract 1.32; Miami-Dade County; Florida,46.0,3.9,67.1,0.0,4.3,15.2,41.3,48553.0,72004.0,36573.0,11.1,5.6,13.5,9.1,11.0,13.8,10.9,10.4,9.5,5.1,17.5,10.3,14.2,14.5,58.9,20.2,6.4,66.3,33.7,2191.0,11.7,52.6,3593,79.2,20.8,5538.0,52.7,12.5,31.7,51.6,40.9,2.8,2.4,62.0,2.8,27.6,0.8,Mixed,Q2,Mixed,False,True,True,False
12086000134,Census Tract 1.34; Miami-Dade County; Florida,53.7,1.6,68.9,6.7,3.1,18.4,26.1,47528.0,67701.0,31837.0,4.4,2.9,21.5,11.9,12.5,9.0,17.7,13.4,3.2,3.5,19.5,14.4,24.9,12.7,56.7,23.4,7.2,58.3,41.7,1705.0,13.1,63.8,1931,70.3,29.7,2952.0,49.6,16.2,22.4,45.7,40.9,9.4,2.5,55.7,9.4,25.9,1.1,Mixed,Q1 (Lowest),Mixed,False,True,True,False
12086000140,Census Tract 1.40; Miami-Dade County; Florida,75.0,6.7,74.6,0.9,4.8,14.8,40.8,78140.0,92182.0,42115.0,6.1,5.9,3.7,5.4,12.7,13.6,14.7,20.5,10.5,7.0,12.0,9.8,7.3,3.8,73.7,21.7,0.8,23.1,76.9,1868.0,9.7,47.2,2010,77.0,23.0,3404.0,36.5,19.6,5.4,66.0,24.7,1.7,6.6,42.4,1.7,43.8,0.3,Majority Hispanic,Q4,Hispanic-Majority,False,False,False,False
12086000141,Census Tract 1.41; Miami-Dade County; Florida,70.2,2.9,56.9,3.4,3.4,34.0,28.6,93750.0,148392.0,62687.0,4.0,0.0,4.1,2.3,17.8,11.1,11.8,17.0,8.6,23.4,13.4,9.8,11.5,3.8,44.2,47.1,4.9,28.7,71.3,2694.0,16.6,45.0,1315,66.6,33.4,2105.0,35.7,27.1,6.0,43.7,51.5,0.0,0.6,66.7,0.0,26.2,0.0,Majority White,Q4,White-Majority,False,False,False,False
12086000142,Census Tract 1.42; Miami-Dade County; Florida,47.1,3.9,52.6,7.5,0.9,19.3,33.8,84196.0,122000.0,52413.0,7.5,1.7,3.3,7.3,7.4,21.1,12.6,16.7,9.6,12.8,11.6,3.3,8.7,9.7,48.3,39.1,2.9,65.0,35.0,3105.0,0.0,78.1,3984,53.9,46.1,5020.0,50.2,16.3,28.0,44.3,45.0,0.0,5.3,61.6,0.0,30.5,0.4,Mixed,Q4,Mixed,False,False,False,False
12086000143,Census Tract 1.43; Miami-Dade County; Florida,54.6,2.5,57.7,2.2,1.5,25.6,28.9,52105.0,97637.0,54366.0,12.6,10.1,9.6,5.3,11.3,15.3,5.9,11.5,8.0,10.2,16.8,0.8,1.3,15.3,47.2,34.4,3.2,57.9,42.1,2169.0,1.8,57.1,2143,74.0,26.0,2831.0,54.7,12.2,28.4,62.6,35.6,0.3,0.6,61.2,0.3,36.5,0.0,Majority Hispanic,Q2,Hispanic-Majority,False,True,False,False
12086000144,Census Tract 1.44; Miami-Dade County; Florida,62.7,3.7,59.6,0.0,0.0,21.2,29.3,70066.0,94942.0,41868.0,7.7,0.0,15.8,12.8,0.0,17.3,10.7,16.9,5.1,13.9,8.3,3.6,2.9,3.2,62.5,34.3,0.0,42.0,58.0,3101.0,8.5,57.4,845,63.1,36.9,1222.0,41.5,30.7,11.9,64.5,25.8,2.1,4.7,61.0,2.1,25.5,1.1,Majority Hispanic,Q3,Hispanic-Majority,False,False,False,False
12086000145,Census Tract 1.45; Miami-Dade County; Florida,70.2,1.8,46.0,0.0,0.0,40.3,24.7,163027.0,185812.0,55685.0,5.3,2.4,2.5,0.0,0.0,6.8,15.3,12.0,28.3,27.5,8.5,2.9,11.7,1.7,17.6,67.3,13.3,91.9,8.1,1176.0,8.3,20.8,1024,86.3,13.7,2897.0,36.9,33.1,5.4,57.4,41.2,0.0,0.0,62.6,0.0,37.1,0.2,Mixed,Q5 (Highest),Mixed,False,False,False,False
12086000146,Census Tract 1.46; Miami-Dade County; Florida,52.4,10.9,65.9,0.0,3.6,27.9,30.5,101546.0,141540.0,54422.0,3.1,2.5,2.6,2.6,16.0,7.9,11.8,20.6,9.3,23.6,8.4,0.5,0.7,1.3,50.7,33.6,14.5,66.8,33.2,2740.0,3.8,62.9,2649,65.7,34.3,4604.0,47.1,26.4,31.8,27.7,60.7,0.0,0.9,67.6,0.0,30.5,0.0,Majority White,Q5 (Highest),White-Majority,False,False,False,False
12086000204,Census Tract 2.04; Miami-Dade County; Florida,68.1,0.0,77.9,4.7,0.0,6.6,34.1,55859.0,83348.0,27470.0,6.3,8.9,6.9,10.7,13.9,17.8,17.2,5.9,5.3,7.1,23.4,22.7,10.4,5.5,22.7,42.4,29.4,75.4,24.6,1606.0,0.0,65.0,1279,93.0,7.0,3776.0,41.9,22.4,21.1,23.1,14.6,51.5,4.3,25.2,51.5,15.5,1.3,Majority Black,Q2,Black-Majority,True,False,False,False
12086000206,Census Tract 2.06; Miami-Dade County; Florida,59.3,1.8,59.4,5.7,0.6,11.6,31.4,50000.0,57796.0,18021.0,4.7,4.9,14.5,11.9,13.9,25.1,10.9,8.1,5.3,0.7,19.4,30.9,14.8,14.5,37.4,37.5,10.6,54.0,46.0,1528.0,9.5,72.4,2108,93.1,6.9,6653.0,36.1,30.2,15.3,24.5,1.8,70.0,3.3,6.1,71.2,15.3,0.0,Majority Black,Q2,Black-Majority,False,True,True,False
12086000211,Census Tract 2.11; Miami-Dade County; Florida,58.4,5.5,73.0,7.3,0.0,8.7,37.0,58792.0,77220.0,28694.0,3.1,2.8,10.1,12.8,15.5,11.8,15.9,18.7,6.0,3.4,17.1,17.4,16.8,10.0,32.3,31.6,26.1,56.9,43.1,2082.0,4.5,77.8,1121,84.1,15.9,2679.0,43.5,15.3,13.5,62.8,21.1,12.9,1.1,41.1,12.9,37.7,1.8,Majority Hispanic,Q2,Hispanic-Majority,False,False,False,False
12086000212,Census Tract 2.12; Miami-Dade County; Florida,60.1,9.4,81.2,4.7,0.0,5.5,31.1,44120.0,51761.0,21229.0,5.7,4.5,15.1,16.4,16.6,29.0,6.4,4.0,1.7,0.6,14.8,31.6,30.0,15.0,52.0,23.6,9.4,14.9,85.1,1347.0,3.7,55.5,2232,86.7,13.3,5019.0,39.0,23.2,11.6,46.5,8.3,40.4,0.7,32.7,41.0,18.1,3.1,Mixed,Q1 (Lowest),Mixed,False,True,True,False
12086000213,Census Tract 2.13; Miami-Dade County; Florida,58.7,9.7,63.1,4.4,1.1,8.5,28.3,86750.0,95351.0,28259.0,1.9,5.4,1.0,9.0,14.6,16.8,14.2,25.3,2.4,9.3,4.1,27.8,14.1,7.2,50.5,24.8,17.4,50.2,49.8,1728.0,11.2,48.1,1804,91.9,8.1,5677.0,31.7,30.9,15.0,16.9,20.0,52.4,8.6,23.4,53.8,14.7,0.5,Majority Black,Q4,Black-Majority,False,False,False,False
12086000215,Census Tract 2.15; Miami-Dade County; Florida,55.2,14.2,72.1,6.2,1.6,6.2,31.2,55492.0,114172.0,35116.0,5.9,3.9,18.9,6.6,12.8,16.6,13.5,11.4,7.7,2.8,18.5,17.2,16.0,10.4,42.6,24.2,22.8,43.1,56.9,1648.0,8.1,73.4,1756,96.0,4.0,5680.0,35.8,28.1,12.6,9.7,0.6,85.5,3.4,4.9,89.1,3.2,0.0,Majority Black,Q2,Black-Majority,False,False,False,False
12086000216,Census Tract 2.16; Miami-Dade County; Florida,65.4,2.9,80.6,9.5,0.0,1.5,32.9,72777.0,89307.0,25844.0,0.7,1.5,4.0,14.1,10.9,28.0,4.2,22.2,8.8,5.6,6.9,17.8,14.3,12.7,28.3,40.6,18.4,70.2,29.8,1740.0,9.8,69.6,1357,93.5,6.5,4754.0,38.6,19.2,19.9,13.4,3.8,80.4,1.2,6.3,82.4,9.0,0.4,Majority Black,Q3,Black-Majority,False,True,False,False
12086000218,Census Tract 2.18; Miami-Dade County; Florida,62.5,4.8,80.8,8.2,3.8,2.1,30.6,54432.0,60534.0,22155.0,5.5,5.9,13.5,9.5,12.4,21.7,17.3,10.6,2.5,1.1,22.3,38.4,27.1,9.0,48.1,30.3,12.7,68.1,31.9,1346.0,8.7,61.3,1031,94.9,5.1,2934.0,42.8,19.1,20.7,26.4,3.6,68.7,0.9,10.3,68.7,16.1,1.3,Majority Black,Q2,Black-Majority,True,False,False,False
12086000219,Census Tract 2.19; Miami-Dade County; Florida,67.5,2.2,57.7,7.7,0.5,9.5,31.2,47409.0,58949.0,20555.0,8.5,7.1,4.3,21.3,9.1,25.0,13.1,6.6,3.0,2.2,15.3,28.3,26.5,11.7,51.1,32.0,5.2,16.4,83.6,1394.0,5.3,58.4,1742,87.5,12.5,4614.0,32.7,26.1,11.8,42.2,9.0,46.2,0.6,16.3,48.4,30.9,0.7,Mixed,Q1 (Lowest),Mixed,False,False,True,False
