GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086003912,"Census Tract 39.12, Miami-Dade County, Florida",60.4,1.1,57.5,13.8,0.5,6.6,31.9,48724,82429,31556,7.1,1.9,12.0,10.2,20.4,17.6,10.3,6.7,5.0,8.8,7.8,21.9,21.6,16.7,51.2,21.2,10.9,27.0,73.0,1443,15.1,58.2,2018,77.9,22.1,4489,36.8,20.9,11.3,64.7,4.3,2.3,6.9,71.6,59.2,2019
12086003913,"Census Tract 39.13, Miami-Dade County, Florida",75.5,1.6,54.4,20.7,3.8,7.2,30.1,39375,57329,30440,7.9,10.8,12.6,15.6,15.7,18.6,8.4,4.3,0.0,6.1,17.8,18.3,20.6,26.2,57.0,16.1,0.7,24.9,75.1,1204,1.6,57.9,2710,85.5,14.5,4471,43.6,11.5,14.6,69.6,6.7,2.3,3.4,62.8,63.5,2019
12086003914,"Census Tract 39.14, Miami-Dade County, Florida",64.5,5.4,56.0,10.2,8.3,8.6,35.8,52665,75179,41367,10.7,7.3,11.1,6.6,10.6,15.7,17.8,14.2,2.2,3.7,24.2,18.4,26.8,23.8,57.7,18.5,0.0,31.6,68.4,1242,16.4,54.1,3655,61.4,38.6,4206,49.1,7.0,20.6,77.4,6.5,2.1,1.4,67.2,68.9,2019
12086003915,"Census Tract 39.15, Miami-Dade County, Florida",71.2,1.9,61.8,9.1,6.3,5.9,31.5,53399,62800,27533,11.4,2.2,9.9,4.3,13.6,30.5,13.4,8.1,3.3,3.4,12.6,15.3,18.5,21.0,41.7,28.2,9.1,35.8,64.2,1428,7.8,56.7,2749,83.4,16.6,5597,41.2,18.2,10.0,76.1,4.2,2.2,0.2,70.3,56.4,2019
12086003916,"Census Tract 39.16, Miami-Dade County, Florida",61.7,6.4,48.8,14.4,0.5,11.6,30.9,43417,64567,26392,8.1,3.3,11.1,21.1,15.4,19.1,7.6,5.3,3.1,5.8,13.9,27.6,21.1,19.0,47.9,23.0,10.1,28.6,71.4,1369,10.4,65.3,2073,83.6,16.4,4554,37.9,18.3,11.4,67.7,2.8,2.3,1.0,66.7,57.5,2019
12086003917,"Census Tract 39.17, Miami-Dade County, Florida",73.9,2.2,63.6,13.3,0.4,4.0,31.2,56885,69816,29193,6.1,4.9,8.8,6.2,11.3,25.4,22.8,7.6,4.9,2.0,11.6,10.5,15.5,11.7,45.6,37.4,5.3,33.3,66.7,1719,8.9,56.7,2473,82.5,17.5,5269,36.1,14.9,14.4,74.5,5.8,3.0,0.8,72.3,52.5,2019
12086003918,"Census Tract 39.18, Miami-Dade County, Florida",80.0,1.5,81.2,1.1,0.0,7.0,32.4,82802,104868,50536,4.1,1.3,0.5,9.4,18.6,10.7,18.3,19.5,7.2,10.3,4.6,3.6,14.0,5.3,52.9,37.4,4.3,29.6,70.4,1903,4.6,50.9,1912,71.0,29.0,2892,33.4,16.7,5.9,84.3,1.2,2.8,4.5,55.3,48.7,2019
12086003919,"Census Tract 39.19, Miami-Dade County, Florida",60.1,3.1,79.2,2.2,0.0,13.0,31.4,97000,144628,77231,2.6,1.8,4.7,6.7,10.1,12.1,15.0,21.1,10.7,15.3,2.4,0.0,6.8,4.1,64.0,29.1,2.8,58.8,41.2,1976,8.7,41.7,2517,46.5,53.5,2198,48.2,17.6,26.7,94.2,0.0,1.4,0.5,49.8,56.6,2019
12086003921,"Census Tract 39.21, Miami-Dade County, Florida",62.8,5.6,60.8,4.9,0.9,20.6,32.4,86420,185744,83426,4.9,2.6,7.2,7.9,8.4,15.3,6.4,15.6,10.7,20.9,5.8,1.0,11.0,4.1,50.7,42.2,3.0,57.2,42.8,2497,9.3,39.4,3663,47.6,52.4,3817,45.9,15.5,23.7,76.5,2.4,1.5,3.1,68.4,65.3,2019
12086003922,"Census Tract 39.22, Miami-Dade County, Florida",58.8,1.8,57.2,1.1,1.8,11.9,29.0,59438,108123,56193,1.9,2.0,10.7,8.1,14.3,20.5,7.7,14.7,9.0,11.1,5.9,2.6,8.3,8.3,69.9,19.8,2.0,52.7,47.3,1995,13.5,49.7,3125,32.4,67.6,1988,53.1,11.9,30.6,87.8,0.0,0.0,2.4,60.4,57.6,2019
