GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,two_or_more_races_pct,year,hispanic_latino_pct,black_alone_pct,asian_alone_pct,foreign_born_pct
12086000130,Census Tract 1.30; Miami-Dade County; Florida,47.5,1.4,70.4,0.0,1.4,25.6,33.1,95086,202888,104228,3.5,11.2,5.4,6.0,9.6,7.1,11.8,9.8,6.8,28.7,11.8,2.9,1.5,3.8,55.2,41.0,0.0,79.1,20.9,2572,20.8,41.6,2844,52.8,47.2,2945,63.2,9.2,41.4,56.3,39.5,2024,46.2,0.0,2.0,67.5
12086000131,Census Tract 1.31; Miami-Dade County; Florida,58.6,2.2,58.9,1.5,1.8,37.3,25.4,117824,156832,67155,8.1,3.1,5.4,5.0,6.2,12.4,7.9,14.5,10.9,26.6,13.6,2.4,8.4,3.3,61.3,27.5,7.9,62.1,37.9,2714,5.7,71.3,2953,70.4,29.6,4973,43.5,26.7,17.4,66.7,25.4,2024,36.4,1.3,0.2,54.2
12086000132,Census Tract 1.32; Miami-Dade County; Florida,43.5,4.0,62.4,0.0,4.5,19.9,42.9,55377,80142,40105,7.9,5.1,11.6,10.3,11.9,13.9,12.0,10.7,9.1,7.5,13.9,11.4,12.9,12.4,62.0,19.6,6.0,64.5,35.5,2174,9.9,56.9,3451,77.2,22.8,5293,55.0,13.1,35.2,54.5,33.9,2024,50.3,2.9,2.3,67.4
12086000134,Census Tract 1.34; Miami-Dade County; Florida,50.5,9.5,57.1,9.5,2.1,26.9,26.3,49429,75611,34190,8.7,0.5,11.6,3.3,26.3,11.1,16.4,9.1,6.8,6.1,14.3,16.6,18.5,10.0,57.7,21.9,10.4,55.2,44.8,1808,10.9,68.2,1880,78.6,21.4,3347,48.5,16.0,24.3,51.0,30.2,2024,47.6,14.5,1.0,57.0
12086000140,Census Tract 1.40; Miami-Dade County; Florida,76.4,6.1,75.5,2.1,2.3,17.5,42.3,58819,83607,37014,6.7,5.7,4.6,11.3,16.6,14.3,12.0,13.8,9.8,5.2,14.4,11.7,10.4,6.7,74.0,19.1,0.2,21.0,79.0,1947,7.8,61.1,1977,77.2,22.8,3485,36.8,19.5,5.7,32.1,53.7,2024,62.2,1.6,6.8,60.4
12086000141,Census Tract 1.41; Miami-Dade County; Florida,67.7,2.8,51.1,0.0,3.2,36.7,25.6,108688,143524,61190,4.4,0.9,3.4,6.3,11.4,11.1,10.7,19.1,8.9,23.8,16.3,9.8,14.6,4.1,56.6,39.3,0.0,41.6,58.4,2641,17.5,46.3,1321,79.2,20.8,2474,34.5,32.3,9.7,53.9,35.1,2024,45.7,0.0,1.2,54.2
12086000142,Census Tract 1.42; Miami-Dade County; Florida,52.9,4.2,53.4,5.5,0.0,19.7,31.3,91054,131228,55025,4.6,2.2,3.6,6.3,6.0,19.9,12.2,22.8,11.2,11.3,9.9,3.0,8.1,7.8,53.0,38.2,1.1,59.9,40.1,3115,0.0,63.8,3917,50.8,49.2,4815,45.0,21.2,23.9,55.1,36.6,2024,46.6,0.0,3.6,58.2
12086000143,Census Tract 1.43; Miami-Dade County; Florida,45.3,3.3,60.5,0.0,1.5,28.0,30.3,40427,92690,50869,15.7,11.0,10.4,6.0,11.0,14.0,5.4,12.0,4.6,9.8,21.6,2.1,1.3,16.1,45.3,33.9,4.7,60.8,39.2,2228,3.8,63.6,2067,72.3,27.7,2710,54.8,10.9,32.7,56.2,41.9,2024,64.5,0.3,0.0,64.4
12086000144,Census Tract 1.44; Miami-Dade County; Florida,60.6,2.9,41.5,0.0,0.0,31.7,25.2,98456,99741,39621,9.0,0.0,0.0,13.0,7.1,17.8,5.2,25.2,13.0,9.8,10.8,3.6,4.0,5.0,51.8,43.2,0.0,25.2,74.8,3198,14.9,49.8,816,64.1,35.9,1340,40.8,27.8,10.1,51.6,29.5,2024,61.3,2.7,1.4,50.2
12086000145,Census Tract 1.45; Miami-Dade County; Florida,66.1,1.5,44.3,0.0,1.2,44.0,31.3,168438,206984,60201,3.7,4.7,2.5,1.0,1.4,4.0,16.3,2.6,32.8,31.1,9.0,0.0,8.7,4.0,22.0,59.8,14.2,93.4,6.6,3239,19.4,80.6,985,89.8,10.2,2973,36.6,37.3,8.0,59.5,37.2,2024,48.2,0.0,2.9,33.8
12086000146,Census Tract 1.46; Miami-Dade County; Florida,53.8,10.9,61.2,0.0,3.2,29.9,33.5,101250,145173,53620,2.4,2.8,3.4,0.7,16.5,10.0,13.7,16.3,10.7,23.6,9.7,1.1,0.9,1.7,48.2,35.7,14.4,64.2,35.8,2772,5.6,59.9,2615,63.7,36.3,4597,46.5,25.6,28.3,60.1,36.9,2024,34.9,1.2,0.4,54.2
