tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086000107,0.4142519690819966,0.3730377,0.041214273197291984,Moderate
12086000109,0.35021892602138616,0.31915584,0.031063083955575,Low
12086000141,0.5803295124931689,0.57364,0.006689523593937929,High
12086000115,0.44811927085600445,0.4672014,-0.019082140868086128,High
12086000118,0.31299007249559263,0.40639767,-0.0934075980118384,Moderate
12086000144,0.577503419844545,0.5718269,0.005676544634736658,High
12086000120,0.34293504032046124,0.37635505,-0.03342001167386249,Moderate
12086000121,0.39013205116663763,0.4212545,-0.031122434678928168,Moderate
12086000122,0.46215815617356776,0.5252499,-0.06309174226011754,High
12086000123,0.35083412577450285,0.33663085,0.014203274744153116,Low
12086000124,0.40638562331852457,0.39897618,0.0074094463413669764,Moderate
12086000125,0.42926372747394037,0.41653746,0.012726263808931826,Moderate
12086000126,0.36740029905083593,0.36296263,0.004437665679482783,Low
12086000127,0.619324280269945,0.5996178,0.019706501015031685,Critical
12086000128,0.29093314143215504,0.3160736,-0.025140455045353505,Low
12086000129,0.6830158466834292,0.7041895,-0.021173632667614517,Critical
12086000130,0.34689456574737243,0.34766325,-0.0007686877983886786,Low
12086000131,0.42649369512678675,0.4075215,0.01897220884443812,Moderate
12086000132,0.3964550371046405,0.39422277,0.0022322709436755073,Moderate
12086000145,0.5645109388434651,0.57082665,-0.006315710822367371,High
12086000134,0.2476585121075491,0.25532195,-0.007663437612833585,Low
12086000140,0.3900922391679367,0.39210662,-0.002014383289567545,Moderate
12086000222,0.5901020031869239,0.60634047,-0.016238464742916237,Critical
12086000204,0.34320517864073985,0.33636418,0.006840998791115216,Low
12086000206,0.38087904946291395,0.37891877,0.0019602824875111224,Moderate
12086000224,0.6065773128287761,0.6035305,0.0030467866675822908,Critical
12086000211,0.37658122299098656,0.38430253,-0.007721303721431039,Moderate
12086000212,0.4069636377561044,0.39888588,0.008077761815781515,Moderate
12086000213,0.287666550230449,0.3354299,-0.04776335661464376,Low
