tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,has_bus,routes_serving,transit_jobs_15min,transit_workers_15min,auto_jobs_15min,transit_auto_ratio_15min,transit_jobs_30min,transit_workers_30min,auto_jobs_30min,transit_auto_ratio_30min,transit_jobs_45min,transit_workers_45min,auto_jobs_45min,transit_auto_ratio_45min,transit_jobs_60min,transit_workers_60min,auto_jobs_60min,transit_auto_ratio_60min,bike_lts2_jobs_30min,bike_lts3_jobs_30min,n_census_blocks,rt_active_vehicles,rt_active_trips,pct_public_transit,pct_drove_alone,pct_walked,unemployment_rate,transit_desert
12086009063,Census Tract 90.63; Miami-Dade County; Florida,2203,1293,1293,0,1266,1148,87,0,20,11,0,23.9,46314,55029,20953,-888888888,-888888888,-888888888,0,136,78,60,169,181,436,90,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,90.68,1.58,0.0,0
12086009064,Census Tract 90.64; Miami-Dade County; Florida,2612,1738,1669,69,1669,1410,189,28,0,23,19,26.1,63750,66062,22185,-888888888,-888888888,-888888888,0,127,36,18,236,166,567,419,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1.68,84.48,0.0,3.97,0
12086009065,Census Tract 90.65; Miami-Dade County; Florida,2896,1923,1767,143,1780,1182,41,10,41,66,440,27.7,81203,110824,37402,-888888888,-888888888,-888888888,0,131,74,80,95,404,837,248,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.56,66.4,2.3,7.44,0
12086009066,Census Tract 90.66; Miami-Dade County; Florida,6213,4726,4726,0,4721,2882,883,30,195,145,586,21.9,83182,98407,38730,-888888888,-888888888,-888888888,18,325,374,297,410,355,1745,1040,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.64,61.05,4.13,0.0,0
12086009101,Census Tract 91.01; Miami-Dade County; Florida,2269,1444,1333,111,1325,1003,114,54,0,0,154,27.0,50110,58446,20348,-888888888,-888888888,-888888888,0,262,166,49,203,167,274,225,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,4.08,75.7,0.0,7.69,0
12086009102,Census Tract 91.02; Miami-Dade County; Florida,2964,1338,1336,2,1336,1054,112,38,36,10,86,26.9,48176,53977,17431,-888888888,-888888888,-888888888,1,150,86,61,100,147,323,328,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,2.84,78.89,2.69,0.15,0
12086009200,Census Tract 92; Miami-Dade County; Florida,2967,1860,1802,58,1798,1253,224,148,0,0,173,31.3,72708,88387,27875,-888888888,-888888888,-888888888,0,179,237,70,67,201,679,235,0,0,,,0,0,0,,971.6440677966102,3306.3898305084745,213261.15254237287,0.0046,9040.661016949152,18082.830508474577,1372450.559322034,0.0066,37617.27118644068,58947.372881355936,1961801.813559322,0.0192,102502.91525423729,125795.28813559322,2207313.9830508474,0.0464,2329.576271186441,66041.7627118644,59.0,0,0,8.23,69.69,0.0,3.12,0
12086009305,Census Tract 93.05; Miami-Dade County; Florida,4139,2942,2801,141,2757,2076,194,202,0,21,264,29.2,101513,123573,46498,-888888888,-888888888,-888888888,8,320,133,36,183,414,1293,384,11,1061,1.0,96.45454545454545,0,0,1,"183, 37",1124.9193548387098,1058.9354838709678,180230.4516129032,0.0062,9387.08064516129,9542.177419354839,1353220.1935483871,0.0069,32448.6935483871,36523.56451612903,1990720.4516129033,0.0163,76359.04838709677,95515.7258064516,2232972.4516129033,0.0342,3441.451612903226,22834.548387096773,62.0,0,0,7.33,75.3,0.0,4.79,0
12086009312,Census Tract 93.12; Miami-Dade County; Florida,5075,3920,3622,245,3633,2868,393,0,136,39,197,33.5,86163,102503,48254,-888888888,-888888888,-888888888,0,276,312,55,517,309,1608,427,21,2600,2.0,123.80952380952381,0,0,1,"183, 37, 75",2757.40625,1411.421875,171532.609375,0.0161,12464.4375,12256.765625,1412092.453125,0.0088,34470.96875,43363.96875,2013467.3125,0.0171,74371.40625,108206.8125,2260967.484375,0.0329,3210.921875,18444.59375,64.0,0,1,0.0,78.94,3.74,6.25,0
12086009314,Census Tract 93.14; Miami-Dade County; Florida,3072,1683,1505,178,1400,949,136,25,61,24,205,25.0,30455,38480,15922,-888888888,-888888888,-888888888,0,228,166,21,224,77,258,424,6,585,2.0,97.5,0,0,1,"54, HIAFLA",1773.2380952380952,5643.380952380952,299122.0,0.0059,16040.095238095239,24178.333333333332,1460722.6666666667,0.011,45030.80952380953,61247.666666666664,1989317.142857143,0.0226,93719.90476190476,111435.14285714286,2223964.4285714286,0.0421,2607.3333333333335,63296.19047619047,21.0,0,0,1.79,67.79,4.36,10.58,0
