GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086000107,"Census Tract 1.07, Miami-Dade County, Florida",59.2,0.0,72.0,0.0,3.0,23.5,31.9,50488,72010,42694,3.2,3.1,16.7,12.4,13.2,22.7,8.9,9.0,4.0,6.9,7.5,1.2,10.4,16.9,59.2,19.3,4.6,27.2,72.8,1700,6.2,70.9,2651,53.2,46.8,2439,54.6,10.5,27.4,83.6,1.4,14.1,0.0,60.8,5.2,2020
12086000109,"Census Tract 1.09, Miami-Dade County, Florida",62.1,6.1,76.7,7.6,0.0,3.5,31.1,36621,55629,22180,13.5,7.6,19.1,6.3,14.9,14.9,10.1,6.2,3.5,3.8,27.7,30.6,23.3,11.1,44.0,35.8,9.2,27.9,72.1,1211,20.0,56.0,1415,84.7,15.3,3207,37.2,22.4,7.5,63.4,10.7,19.0,2.6,70.2,0.5,2020
12086000115,"Census Tract 1.15, Miami-Dade County, Florida",58.9,4.9,78.5,2.4,0.5,11.6,32.5,76333,172911,71560,9.6,2.1,5.1,4.3,9.8,17.6,14.0,5.7,8.3,23.6,7.2,1.1,13.9,7.0,45.2,33.6,14.2,49.4,50.6,1760,6.1,42.9,2599,40.2,59.8,2588,42.0,21.6,18.9,95.1,0.9,3.4,0.5,42.7,1.0,2020
12086000118,"Census Tract 1.18, Miami-Dade County, Florida",44.3,4.2,59.1,0.0,0.0,30.6,30.2,77917,199501,77992,4.9,4.3,9.4,7.4,10.1,12.1,6.5,16.4,7.0,22.0,4.7,1.6,15.1,11.9,57.0,28.3,2.9,78.5,21.5,3109,0.0,58.4,1871,23.8,76.2,1162,52.0,17.0,28.2,70.7,2.3,21.6,1.1,37.4,6.5,2020
12086000120,"Census Tract 1.20, Miami-Dade County, Florida",65.7,8.3,74.5,1.6,0.9,16.7,28.4,85267,123564,58144,5.0,2.7,3.5,6.6,12.1,13.5,23.7,9.7,5.8,17.4,9.1,5.9,16.7,11.5,42.6,31.9,14.0,74.4,25.6,1471,10.4,43.0,2295,85.0,15.0,4226,43.6,16.9,13.3,81.8,4.7,9.6,1.8,53.8,2.4,2020
12086000121,"Census Tract 1.21, Miami-Dade County, Florida",36.9,5.7,79.6,0.0,1.9,13.3,28.0,108750,159347,67226,4.7,5.0,8.2,8.2,3.9,8.0,7.3,22.7,5.5,26.3,7.3,2.2,5.5,4.4,55.5,35.8,4.3,73.2,26.8,1994,9.3,21.7,1574,40.3,59.7,1497,49.5,25.4,34.5,84.6,4.3,4.6,5.5,21.6,1.3,2020
12086000122,"Census Tract 1.22, Miami-Dade County, Florida",49.7,0.9,55.7,0.0,0.0,18.0,31.3,79049,122724,59481,7.7,2.7,7.1,5.2,15.9,7.1,13.8,19.3,10.5,10.6,10.4,2.9,4.4,5.8,54.9,33.0,6.3,73.9,26.1,1599,9.8,69.7,3079,60.5,39.5,3952,54.5,17.2,31.3,93.0,0.0,5.6,0.4,45.5,4.3,2020
12086000123,"Census Tract 1.23, Miami-Dade County, Florida",44.5,2.3,73.9,0.6,0.0,8.5,31.9,49356,98382,46470,19.8,3.0,12.3,7.3,8.6,6.8,7.6,18.2,4.2,12.3,19.1,6.2,8.2,5.3,55.7,28.9,10.1,73.1,26.9,1602,7.2,44.7,4393,42.2,57.8,3935,55.4,13.1,35.1,78.9,3.7,13.7,3.2,41.7,0.3,2020
12086000124,"Census Tract 1.24, Miami-Dade County, Florida",55.8,8.5,62.7,13.7,13.1,6.2,30.5,37357,51033,20289,6.4,10.0,12.1,16.2,21.5,16.6,11.4,4.5,0.0,1.4,13.0,43.6,27.3,16.7,51.8,18.9,12.5,30.0,70.0,1139,14.9,49.2,1396,89.1,10.9,3674,38.7,11.8,14.7,48.9,40.2,4.4,0.5,45.5,2.5,2020
12086000125,"Census Tract 1.25, Miami-Dade County, Florida",56.5,1.9,68.3,1.5,7.1,5.1,38.4,42698,57935,28956,26.3,1.7,6.0,7.1,17.7,11.3,10.8,13.0,3.5,2.7,16.9,2.2,9.4,9.2,63.5,23.4,3.8,62.5,37.5,1969,2.0,64.5,3431,60.2,39.8,4276,44.8,22.7,25.6,91.4,3.0,2.4,1.2,42.5,4.2,2020
