GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086007003,"Census Tract 70.03, Miami-Dade County, Florida",73.4,3.2,65.4,7.0,6.9,4.3,37.6,52478,95567,33584,2.0,6.2,4.6,9.3,7.3,29.4,12.7,14.8,3.1,10.5,4.6,12.6,8.1,13.0,45.8,32.8,8.3,29.7,70.3,1821,0.0,59.2,1849,89.1,10.9,5023,33.6,21.5,12.3,44.0,4.3,40.9,2.9,91.8,2.6,2021
12086007004,"Census Tract 70.04, Miami-Dade County, Florida",67.1,5.4,53.9,5.4,8.5,20.2,31.0,63162,87333,38114,3.6,4.3,1.9,8.0,17.9,23.5,8.4,16.0,12.8,3.6,6.4,16.6,14.5,6.9,56.0,23.9,13.3,39.8,60.2,1781,0.0,47.5,2438,84.3,15.7,4916,42.0,17.7,13.2,66.7,2.2,23.4,2.8,70.6,8.1,2021
12086007005,"Census Tract 70.05, Miami-Dade County, Florida",56.5,11.8,44.5,1.9,2.5,11.1,23.9,34732,46053,22018,24.8,2.7,13.7,9.1,11.4,18.0,2.7,17.7,0.0,0.0,26.5,32.1,39.7,11.3,65.3,18.8,4.6,33.4,66.6,1615,2.4,59.0,1051,92.1,7.9,2036,50.0,13.2,13.9,54.9,3.6,22.5,2.8,82.6,0.0,2021
12086007006,"Census Tract 70.06, Miami-Dade County, Florida",66.3,4.4,78.8,2.4,4.9,12.3,27.5,46986,59647,24868,1.2,13.0,12.7,11.9,15.4,27.0,3.7,9.5,0.0,5.6,16.6,9.3,15.3,6.3,57.2,26.3,10.2,32.0,68.0,1758,22.2,59.4,1407,87.4,12.6,3144,42.7,21.5,17.6,63.3,0.0,34.0,0.7,91.7,1.0,2021
12086007007,"Census Tract 70.07, Miami-Dade County, Florida",56.8,2.9,53.2,18.4,2.3,10.1,29.4,56848,80944,37762,6.8,2.7,12.4,4.5,13.3,12.8,14.2,19.6,8.8,4.8,25.8,29.2,9.9,12.6,35.4,49.5,2.5,17.8,82.2,1918,16.8,45.2,1053,80.7,19.3,1900,38.4,14.2,11.5,67.1,0.7,19.4,6.7,65.7,3.7,2021
12086007101,"Census Tract 71.01, Miami-Dade County, Florida",57.2,7.1,73.5,5.5,0.0,6.5,26.3,52188,111551,44152,15.4,5.8,6.9,11.8,5.3,9.2,9.7,10.3,13.8,11.8,14.9,32.3,5.4,16.8,44.2,29.0,10.0,45.8,54.2,1050,0.9,43.3,1235,83.9,16.1,2754,40.8,21.7,17.3,44.0,30.3,21.8,0.2,44.4,1.3,2021
12086007103,"Census Tract 71.03, Miami-Dade County, Florida",64.1,16.1,70.2,8.5,3.1,12.0,33.7,102344,136852,76730,15.9,0.0,3.8,2.1,2.4,13.0,12.3,28.6,10.0,12.0,22.4,1.6,5.2,5.0,75.6,18.0,1.5,49.2,50.8,2124,13.7,22.7,1504,77.6,22.4,2089,39.8,12.9,15.4,59.1,17.0,6.7,13.2,26.3,1.7,2021
12086007104,"Census Tract 71.04, Miami-Dade County, Florida",83.9,0.7,65.9,4.1,4.5,18.6,24.5,128750,165162,74692,0.3,2.2,3.2,0.6,12.0,12.8,12.8,11.0,18.3,26.9,1.4,4.3,3.6,1.8,41.2,49.0,8.1,51.0,49.0,1987,3.5,37.1,1582,85.1,14.9,3106,34.2,20.4,6.8,79.0,2.5,15.8,2.5,46.8,6.6,2021
12086007200,"Census Tract 72, Miami-Dade County, Florida",58.0,6.7,76.2,7.3,2.5,5.7,24.9,43696,62526,26982,15.2,5.8,14.9,12.7,5.9,24.6,6.3,5.3,3.5,5.9,26.5,27.5,14.2,24.3,54.6,14.9,6.1,22.5,77.5,1102,7.3,65.4,1326,84.6,15.4,2851,38.8,22.4,13.3,21.2,72.3,3.8,0.1,16.9,1.0,2021
12086007300,"Census Tract 73, Miami-Dade County, Florida",65.9,2.2,59.9,0.1,0.9,33.2,25.8,167917,249593,87436,2.1,0.0,3.3,4.1,1.7,11.7,9.4,15.5,5.0,47.1,10.1,1.7,4.9,1.2,25.1,56.6,17.1,89.9,10.1,2452,17.1,30.3,1750,86.1,13.9,4328,39.0,35.0,10.9,65.2,3.8,25.1,3.9,53.4,3.8,2021
