tract_geoid,tract_2010,block_count,auto_jobs_30_mean,transit_jobs_30_mean,bike_safe_jobs_30_mean,walk_jobs_20_mean,auto_jobs_30_std,transit_jobs_30_std,time_tax_minutes_mean,time_tax_minutes_median,pct_blocks_never_viable,stop_count,route_count,daily_trip_count,peak_trips,midday_trips,evening_trips,late_trips,wheelchair_pct,poverty_rate_pct,hh_no_vehicle_pct,snap_benefits_pct,rent_burden_50pct_plus,unemployment_rate_pct,ind_1_transit_dependency,ind_2_temporal_mismatch,ind_3_structural_gap,ind_4_time_tax,ind_5_service_coverage,ind_6_economic_vulnerability,ind_7_multimodal_deficit,composite_need,composite_access_deficit,equity_priority_score,equity_percentile,equity_tier,transit_desert,multimodal_desert,shift_worker_proxy,low_income_share,peak_offpeak_ratio,institutional_tract
12086000107,12086000107,8,925571.0,19117.0,1337.625,1021.875,74047.74228254941,3570.5547388126033,21.25,20.0,0.0,8.0,5.0,490.0,54.0,125.0,79.0,47.0,0.0,16.9,18.9,5.6,67.9,3.8,0.17104478030973574,0.44912588717387364,0.40663414474125104,0.35100845803513336,0.6232063032100097,0.2553720856888167,0.9555574318979652,0.21320843299927622,0.5571064450116466,0.11877979215473063,65.8203125,Moderate,0,0,1.0,31.700000000000003,0.6454183266932271,False
12086000109,12086000109,92,1055241.3152173914,17153.043478260868,2998.413043478261,1381.8804347826087,245220.540428359,10905.38200318776,25.0,20.0,0.0,31.0,10.0,1024.0,121.0,247.0,169.0,90.0,0.0,17.8,7.0,22.7,51.8,1.3,0.11824120056951488,0.5110473309286482,0.4529253289927908,0.4140099761440034,0.5152512102118292,0.2515724947248457,0.9535580691089908,0.1849068476471803,0.5693583830772525,0.10527826379631045,57.03125,Moderate,0,0,1.0,21.5,0.7173913043478262,False
12086000141,12086000113,45,1164669.1555555556,27267.31111111111,14095.777777777777,7467.688888888889,151832.89262345975,8426.635432911045,18.22222222222222,20.0,0.0,14.0,10.0,1567.0,180.0,350.0,256.0,165.0,0.0,13.4,3.8,9.8,45.0,2.9,0.07603422823116858,0.49641960867346774,0.38241185565029995,0.3001405656361197,0.5326217793202597,0.19443380499418886,0.8841189329205648,0.13523401661267873,0.5191425484401424,0.07020573202010259,23.4375,Low,0,0,1.0,8.1,0.7003891050583657,False
12086000115,12086000115,21,878397.2380952381,20043.333333333332,2237.6666666666665,1316.904761904762,140262.14331383383,7859.591403713892,22.38095238095238,20.0,0.0,3.0,2.0,70.0,8.0,27.0,12.0,0.0,0.0,6.2,10.5,5.3,52.5,8.7,0.07934337505249812,0.05267732564788768,0.3873786066525451,0.37000891587749096,0.6734941848058045,0.20927630581226092,0.9502200605089598,0.14430984043237952,0.48675581869853757,0.07024365452591821,23.6328125,Low,0,0,0.3,9.2,0.6153846153846154,False
12086000118,12086000118,3,1062784.0,23651.666666666668,3682.3333333333335,3618.0,21397.82381458451,779.3589245869543,20.0,20.0,0.0,4.0,5.0,446.0,34.0,108.0,79.0,61.0,0.0,5.5,14.5,0.0,46.8,4.6,0.0932721667353004,0.0,0.39221251655604866,0.3300079519988433,0.6324926994181997,0.15727260981912144,0.9327216673530039,0.12527238827721093,0.45748696706521913,0.05731048496995774,14.453125,Low,0,0,0.3,11.1,0.41129032258064513,False
12086000144,12086000119,24,1109200.8333333333,21516.791666666668,15237.583333333334,6690.416666666667,125579.70772197327,9995.387701461921,21.25,20.0,0.0,6.0,6.0,425.0,38.0,98.0,79.0,53.0,0.0,8.3,3.2,3.6,57.4,3.7,0.051416588324253096,0.32027563381556323,0.4187576628801848,0.35100845803513336,0.6199405564166498,0.1973467745393408,0.8942015360739668,0.12438168143179695,0.5208367694442997,0.06478255313498717,17.96875,Low,0,0,1.0,23.5,0.49565217391304345,False
12086000120,12086000120,35,1126132.0857142857,13958.0,3957.114285714286,2714.657142857143,129306.2307698442,9482.915619526457,26.285714285714285,25.0,0.0,13.0,5.0,409.0,48.0,97.0,62.0,42.0,0.0,11.7,9.6,4.2,62.4,8.5,0.10156581172704075,0.07875431051699576,0.5053288283997298,0.4356104966384732,0.6157149375519464,0.24649053067488125,0.9536695936811339,0.174028171200961,0.5178156333576558,0.09011450769250018,43.359375,Moderate,0,0,0.3,10.100000000000001,0.7164179104477612,False
12086000121,12086000121,12,1049346.0,15797.75,11605.833333333334,3971.4166666666665,124276.47894622992,5715.078145095258,25.0,25.0,0.0,5.0,3.0,64.0,6.0,18.0,13.0,2.0,0.0,13.1,1.9,1.7,65.9,3.2,0.06927178513771846,0.03462817289757519,0.4677502051267864,0.4140099761440034,0.660488001774603,0.2252272056915248,0.9236238018362463,0.14724949541462162,0.5001000315558428,0.0736394773034342,26.3671875,Low,0,0,0.3,18.3,0.5454545454545454,False
12086000122,12086000122,13,1022871.6153846154,16351.23076923077,14997.307692307691,1791.4615384615386,104913.92559104381,3579.326732637628,23.46153846153846,25.0,0.0,3.0,1.0,28.0,4.0,6.0,6.0,2.0,0.0,1.7,7.0,4.6,55.8,1.1,0.039925295358255536,0.11507582515611062,0.45615620591047956,0.3881631994839541,0.6839760232046185,0.16283933967480224,0.9178228817989778,0.10138231751652889,0.5122388271108281,0.051931959414444326,11.1328125,Low,0,0,0.3,4.4,0.8571428571428571,False
12086000123,12086000123,34,968664.4411764706,21925.970588235294,2650.9117647058824,2097.4117647058824,108670.18157464411,4518.119604070314,20.735294117647058,20.0,0.0,23.0,5.0,885.0,83.0,214.0,147.0,101.0,0.0,14.7,3.7,3.3,50.8,3.0,0.08677383968373263,0.3575361104353076,0.38893328983331504,0.3423611908437198,0.5814203703079723,0.19561042618733285,0.9431939096057894,0.14119213293553273,0.5226889742052208,0.07379957112992076,26.7578125,Low,0,0,1.0,21.8,0.538961038961039,False
