tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,transit_jobs_accessible_30min,transit_workers_30min,n_blocks,auto_jobs_accessible_30min,auto_workers_30min,transit_auto_ratio,rt_active_vehicles,rt_active_trips
12086015700,Census Tract 157; Miami-Dade County; Florida,1808,1095,1065,21,1074,887,95,8,11,7,66,26.0,153846,218495,69028,-888888888,-888888888,-888888888,6,106,43,21,105,52,622,85,17,1441,2.0,84.76470588235294,0,0,6300.626865671642,9614.328358208955,67.0,865033.2089552239,889993.7611940298,0.0073,0,1
12086015800,Census Tract 158; Miami-Dade County; Florida,4115,2493,2396,88,2399,2079,166,0,11,0,143,30.0,70208,81985,30667,-888888888,-888888888,-888888888,23,266,62,155,149,460,729,521,3,84,1.0,28.0,0,0,3529.2884615384614,10409.596153846154,52.0,781502.1153846154,836109.3653846154,0.0045,0,0
12086015900,Census Tract 159; Miami-Dade County; Florida,2800,1541,1477,64,1419,1175,89,0,7,11,137,27.4,92989,120441,42116,-888888888,-888888888,-888888888,11,116,76,52,123,138,607,192,7,832,2.0,118.85714285714286,0,0,5290.7555555555555,15496.066666666668,45.0,747595.1333333333,798853.6,0.0071,0,0
12086016000,Census Tract 160; Miami-Dade County; Florida,3689,2402,2369,33,2353,1961,90,0,7,4,291,35.5,74013,90097,35777,-888888888,-888888888,-888888888,17,353,32,130,191,327,889,260,10,820,1.0,82.0,0,0,5126.468085106383,14977.297872340425,47.0,695687.659574468,725103.5957446808,0.0074,0,0
12086016100,Census Tract 161; Miami-Dade County; Florida,3888,2515,2449,66,2406,1382,469,0,8,24,523,39.0,91406,100731,34908,-888888888,-888888888,-888888888,22,350,70,162,114,307,570,669,5,280,1.0,56.0,0,0,4127.081967213115,12713.27868852459,61.0,684402.4426229508,708135.9016393443,0.006,0,0
12086016200,Census Tract 162; Miami-Dade County; Florida,2533,1679,1639,40,1629,1267,59,0,2,1,300,41.4,79848,104100,41037,-888888888,-888888888,-888888888,2,18,64,196,112,168,949,176,2,196,1.0,98.0,0,0,1928.0357142857142,9034.67857142857,28.0,593279.2142857143,612649.2142857143,0.0032,0,0
12086016300,Census Tract 163; Miami-Dade County; Florida,3841,2286,2115,116,2118,1543,241,14,0,15,305,38.3,96250,112728,34847,-888888888,-888888888,-888888888,10,184,76,128,158,148,1054,269,5,307,1.0,61.4,0,0,1486.076923076923,7883.871794871795,39.0,567682.9230769231,591279.7948717949,0.0026,0,1
12086016401,Census Tract 164.01; Miami-Dade County; Florida,3860,2448,2401,47,2374,2010,60,54,0,0,250,36.6,152222,143673,44262,-888888888,-888888888,-888888888,0,93,65,91,180,129,1082,425,0,0,,,0,0,,,,,,,0,0
12086016402,Census Tract 164.02; Miami-Dade County; Florida,1686,964,959,5,944,733,91,9,0,10,101,37.4,87390,107724,34915,-888888888,-888888888,-888888888,0,6,15,39,158,94,391,61,0,0,,,0,0,,,,,,,0,0
12086016501,Census Tract 165.01; Miami-Dade County; Florida,3067,1718,1642,76,1453,1116,206,17,0,10,104,30.8,113542,135629,38898,-888888888,-888888888,-888888888,0,85,71,253,227,133,603,246,0,0,,,0,0,,,,,,,0,0
12086016502,Census Tract 165.02; Miami-Dade County; Florida,3950,2725,2679,46,2601,2452,97,0,17,17,18,41.8,126291,135815,41981,-888888888,-888888888,-888888888,32,172,67,107,234,378,1227,288,0,0,,,0,0,,,,,,,0,0
12086016600,Census Tract 166; Miami-Dade County; Florida,3134,2146,2110,36,2101,1610,254,28,0,3,206,33.3,71468,87514,36535,-888888888,-888888888,-888888888,4,203,43,77,181,72,851,393,2,44,1.0,22.0,0,0,2607.6129032258063,14366.41935483871,31.0,533596.4516129033,551880.9354838709,0.0049,0,0
12086016700,Census Tract 167; Miami-Dade County; Florida,4099,2589,2519,70,2510,2034,295,0,13,27,141,46.7,94330,98744,28912,-888888888,-888888888,-888888888,8,282,105,37,263,357,856,404,4,198,1.0,49.5,0,0,2748.0,14756.56,50.0,557325.5,579717.28,0.0049,0,0
12086016800,Census Tract 168; Miami-Dade County; Florida,3373,2004,1933,71,1933,1389,294,0,0,32,218,34.7,62071,99727,33410,-888888888,-888888888,-888888888,15,261,65,77,182,101,764,355,11,818,2.0,74.36363636363636,0,0,5068.121951219512,19340.878048780487,41.0,611084.8048780488,637408.1219512195,0.0083,0,0
12086016900,Census Tract 169; Miami-Dade County; Florida,3937,2597,2489,108,2334,1801,310,10,27,48,138,35.4,67261,70481,28538,-888888888,-888888888,-888888888,0,112,92,81,309,277,802,710,2,188,1.0,94.0,0,0,4186.785714285715,14975.285714285714,14.0,598053.2857142857,626782.7857142857,0.007,0,0
12086017000,Census Tract 170; Miami-Dade County; Florida,4147,2577,2416,161,2407,2190,156,33,0,0,28,31.4,59327,81282,32525,-888888888,-888888888,-888888888,0,171,99,120,146,254,682,786,10,792,2.0,79.2,0,0,5192.5952380952385,17970.404761904763,42.0,663689.7380952381,692958.880952381,0.0078,0,0
12086017101,Census Tract 171.01; Miami-Dade County; Florida,3170,2219,2109,110,2094,1906,20,67,0,0,101,34.9,68158,76094,30797,-888888888,-888888888,-888888888,0,34,62,90,228,188,713,403,0,0,,,0,0,,,,,,,0,0
12086017102,Census Tract 171.02; Miami-Dade County; Florida,2215,1413,1377,36,1373,1159,74,0,0,5,135,30.0,101081,98186,35284,-888888888,-888888888,-888888888,0,49,32,11,183,187,429,230,0,0,,,0,0,,,,,,,0,0
12086017200,Census Tract 172; Miami-Dade County; Florida,3307,1764,1696,68,1650,1187,157,52,0,0,254,26.9,74615,96244,35051,-888888888,-888888888,-888888888,0,129,34,57,371,103,650,314,9,939,2.0,104.33333333333333,0,0,6749.541666666667,16270.395833333334,48.0,738108.0208333334,788567.3541666666,0.0091,0,0
12086017300,Census Tract 173; Miami-Dade County; Florida,3700,2291,2229,62,2209,1763,248,26,13,0,159,26.9,43829,71524,28960,-888888888,-888888888,-888888888,13,44,74,39,284,207,836,422,6,611,2.0,101.83333333333333,0,0,8092.09375,16986.5,32.0,734836.625,787229.5,0.011,0,0
12086017401,Census Tract 174.01; Miami-Dade County; Florida,1363,708,566,142,535,389,85,13,0,0,48,40.9,74444,120724,35581,-888888888,-888888888,-888888888,43,16,40,1,22,56,156,257,0,0,,,0,0,,,,,,,0,0
12086017402,Census Tract 174.02; Miami-Dade County; Florida,4192,2360,2283,77,2205,1730,176,0,13,0,286,35.5,61824,71251,31663,-888888888,-888888888,-888888888,47,180,74,100,152,121,705,483,0,0,,,0,0,,,,,,,0,0
12086017500,Census Tract 175; Miami-Dade County; Florida,3002,1889,1871,18,1859,1568,79,0,0,9,203,34.4,50000,62497,26247,-888888888,-888888888,-888888888,0,72,43,101,236,280,582,398,4,310,1.0,77.5,0,0,5503.333333333333,22752.333333333332,12.0,535710.0,558915.8333333334,0.0103,0,0
12086017600,Census Tract 176; Miami-Dade County; Florida,5751,4054,3897,157,3745,3151,125,64,0,156,249,31.8,58870,75464,31465,-888888888,-888888888,-888888888,47,177,170,59,630,243,1212,802,4,469,2.0,117.25,0,0,6046.952380952381,21018.761904761905,21.0,564098.8095238095,600739.0,0.0107,0,0
12086017700,Census Tract 177; Miami-Dade County; Florida,4176,2626,2563,46,2498,2092,76,89,76,25,140,33.4,54886,72518,26546,-888888888,-888888888,-888888888,14,273,169,10,407,260,644,633,7,703,2.0,100.42857142857143,0,0,5885.941176470588,20668.70588235294,34.0,535463.1470588235,561309.0882352941,0.011,0,0
12086017800,Census Tract 178; Miami-Dade County; Florida,4902,3091,3002,89,2944,2301,234,109,83,58,159,37.3,60377,68592,25385,-888888888,-888888888,-888888888,86,294,181,86,426,266,744,677,5,408,1.0,81.6,0,0,5521.741935483871,21243.25806451613,31.0,515683.8064516129,531220.4838709678,0.0107,0,0
12086017901,Census Tract 179.01; Miami-Dade County; Florida,3363,2252,2219,24,2219,1773,139,27,31,13,236,40.2,116957,121363,37264,-888888888,-888888888,-888888888,56,179,76,53,352,334,1190,75,0,0,,,0,0,,,,,,,0,0
12086017902,Census Tract 179.02; Miami-Dade County; Florida,3926,2823,2657,166,2227,1730,248,0,0,0,249,32.4,120540,125280,40081,-888888888,-888888888,-888888888,0,140,140,94,261,40,1372,443,0,0,,,0,0,,,,,,,0,0
12086018001,Census Tract 180.01; Miami-Dade County; Florida,1347,936,936,0,872,767,48,0,0,0,57,36.7,125042,143440,50325,-888888888,-888888888,-888888888,0,135,34,43,128,10,566,73,0,0,,,0,0,,,,,,,0,0
12086018002,Census Tract 180.02; Miami-Dade County; Florida,2191,1235,1229,6,1209,1074,25,16,0,14,80,36.5,84722,124389,36187,-888888888,-888888888,-888888888,0,150,19,87,40,76,597,233,0,0,,,0,0,,,,,,,0,0
12086018003,Census Tract 180.03; Miami-Dade County; Florida,6396,3790,3757,33,3729,2687,363,113,68,204,294,39.3,86795,97508,29639,-888888888,-888888888,-888888888,0,141,170,152,342,262,1706,786,0,0,,,0,0,,,,,,,0,0
12086018100,Census Tract 181; Miami-Dade County; Florida,3987,2337,2282,55,2223,1644,392,39,16,0,132,42.8,54910,75913,29161,-888888888,-888888888,-888888888,24,178,120,108,254,193,867,362,9,787,2.0,87.44444444444444,0,0,5185.0526315789475,18883.57894736842,38.0,564569.9736842106,602174.2631578947,0.0092,0,0
12086018200,Census Tract 182; Miami-Dade County; Florida,2143,1281,1201,80,1167,988,67,32,0,0,80,34.8,73375,90016,29686,-888888888,-888888888,-888888888,1,97,17,44,103,99,543,214,2,144,2.0,72.0,0,0,1606.25,7138.958333333333,24.0,436003.2916666667,484160.3333333333,0.0037,0,0
12086018300,Census Tract 183; Miami-Dade County; Florida,3717,2627,2485,142,2426,1934,99,33,0,54,306,37.4,85570,107224,35891,-888888888,-888888888,-888888888,0,150,105,22,336,198,985,383,7,502,2.0,71.71428571428571,0,0,5292.5,17489.115384615383,52.0,536824.9807692308,565101.0576923077,0.0099,0,0
12086018400,Census Tract 184; Miami-Dade County; Florida,3135,2090,2002,70,1997,1541,286,37,0,17,116,36.8,62500,79100,34145,-888888888,-888888888,-888888888,0,44,39,152,88,106,855,560,1,72,2.0,72.0,0,0,3123.2380952380954,11970.0,21.0,500054.6666666667,526119.0952380953,0.0062,0,0
12086018500,Census Tract 185; Miami-Dade County; Florida,3989,2736,2618,106,2596,1953,194,44,41,25,339,36.6,87423,106262,37661,-888888888,-888888888,-888888888,14,138,193,31,95,395,994,457,3,341,2.0,113.66666666666667,0,0,3080.825,10625.95,40.0,515068.275,542285.5,0.006,0,0
12086018601,Census Tract 186.01; Miami-Dade County; Florida,3310,2117,2116,1,2116,1859,55,3,0,36,163,25.4,71818,90764,29214,-888888888,-888888888,-888888888,15,229,22,94,277,166,822,249,0,0,,,0,0,,,,,,,0,0
12086018602,Census Tract 186.02; Miami-Dade County; Florida,3019,1871,1797,74,1776,1208,292,68,6,14,188,33.7,78125,93424,33352,-888888888,-888888888,-888888888,2,183,13,80,248,240,543,219,0,0,,,0,0,,,,,,,0,0
12086018700,Census Tract 187; Miami-Dade County; Florida,3514,2128,2062,66,2052,1542,176,0,0,0,334,30.0,97813,109127,34005,-888888888,-888888888,-888888888,8,68,72,24,256,168,962,312,2,220,2.0,110.0,0,0,3162.0434782608695,10537.065217391304,46.0,542473.9565217391,573894.3260869565,0.0058,0,0
12086018801,Census Tract 188.01; Miami-Dade County; Florida,2147,1276,1276,0,1265,1032,85,49,0,0,99,29.9,116196,114531,35475,-888888888,-888888888,-888888888,0,50,44,9,94,208,582,173,0,0,,,0,0,,,,,,,0,0
12086018802,Census Tract 188.02; Miami-Dade County; Florida,2092,1545,1467,78,1467,1214,110,58,0,85,0,26.9,80020,86710,35339,-888888888,-888888888,-888888888,0,181,37,0,165,92,692,157,0,0,,,0,0,,,,,,,0,0
