tract_geoid,tier_baseline,equity_baseline,composite_need,composite_access_deficit,deficit_baseline_stored,flag_fragile,flag_worsening,S1_equity_new,S1_tier_new,S1_deficit_new,S2_equity_new,S2_tier_new,S2_deficit_new,S3_equity_new,S3_tier_new,S3_deficit_new,S4_equity_new,S4_tier_new,S4_deficit_new,S5_equity_new,S5_tier_new,S5_deficit_new
12086000107,Moderate,0.1187797921547306,0.2132084329992762,0.5571064450116466,0.3730377,False,True,0.11877979215473061,Moderate,0.37443087,0.12595045365709642,High,0.397035,0.11877979215473061,Moderate,0.37443087,0.10706160180989112,Moderate,0.33749148,0.11877979215473061,Moderate,0.37443087
12086000109,Moderate,0.1052782637963104,0.1849068476471803,0.5693583830772525,0.31915584,False,False,0.10527826379631045,Moderate,0.34417415,0.11019022819284043,Moderate,0.36023226,0.10527826379631045,Moderate,0.34417415,0.09422528027915701,Moderate,0.3080399,0.10527826379631045,Moderate,0.34417415
12086000141,Low,0.0702057320201025,0.1352340166126787,0.5191425484401424,0.57364,False,True,0.07020573202010258,Low,0.5643475,0.06453776653995492,Low,0.51878566,0.07020573202010258,Low,0.5643475,0.06994364292213287,Low,0.5622407,0.07020573202010258,Low,0.5643475
12086000115,Low,0.0702436545259182,0.1443098404323795,0.4867558186985375,0.4672014,False,True,0.07024365452591819,Low,0.47498196,0.06821091047720862,Low,0.46123672,0.07024365452591819,Low,0.47498196,0.0689380989983959,Low,0.4661539,0.07024365452591819,Low,0.47498196
12086000118,Low,0.0573104849699577,0.1252723882772109,0.4574869670652191,0.40639767,False,False,0.05731048496995772,Low,0.40701878,0.060818892246423895,Low,0.4319355,0.05731048496995772,Low,0.40701878,0.055871223619096695,Low,0.39679715,0.05731048496995772,Low,0.40701878
12086000144,Low,0.0647825531349871,0.1243816814317969,0.5208367694442997,0.5718269,False,True,0.06478255313498713,Low,0.5571069,0.05966073519644437,Low,0.5130611,0.06478255313498713,Low,0.5571069,0.06442377276838218,Low,0.55402154,0.06478255313498713,Low,0.5571069
12086000120,Moderate,0.0901145076925001,0.174028171200961,0.5178156333576558,0.37635505,False,True,0.09011450769250018,Moderate,0.40157107,0.08675734102760103,Low,0.38661075,0.09011450769250018,Moderate,0.40157107,0.08094274464960516,Low,0.36069956,0.09011450769250018,Moderate,0.40157107
12086000121,Low,0.0736394773034342,0.1472494954146216,0.5001000315558428,0.4212545,False,False,0.07363947730343419,Low,0.41599286,0.07138291308467788,Low,0.40324542,0.07363947730343419,Low,0.41599286,0.07332040041948794,Low,0.41419038,0.07363947730343419,Low,0.41599286
12086000122,Low,0.0519319594144443,0.1013823175165288,0.5122388271108281,0.5252499,False,False,0.051931959414444284,Low,0.5333725,0.04858682220217982,Low,0.49901596,0.051931959414444284,Low,0.5333725,0.051539312796569016,Low,0.5293398,0.051931959414444284,Low,0.5333725
12086000123,Low,0.0737995711299207,0.1411921329355327,0.5226889742052208,0.33663085,False,False,0.07379957112992075,Low,0.32762396,0.07885821432774545,Low,0.35008118,0.07379957112992075,Low,0.32762396,0.06550827824659687,Low,0.2908158,0.07379957112992075,Low,0.32762396
12086000124,Moderate,0.1182807996552883,0.2114134278852361,0.5594762870005399,0.39897618,False,False,0.11828079965528829,Moderate,0.3852549,0.11309465839337539,Moderate,0.368363,0.11828079965528829,Moderate,0.3852549,0.10614746933743671,Moderate,0.34573516,0.11828079965528829,Moderate,0.3852549
12086000125,Moderate,0.104775897157115,0.1825526137349307,0.5739490386549673,0.41653746,False,False,0.10477589715711505,Moderate,0.42190802,0.11208755812171207,Moderate,0.4513504,0.10477589715711505,Moderate,0.42190802,0.09880427250013267,Moderate,0.3978617,0.10477589715711505,Moderate,0.42190802
12086000126,Moderate,0.1200994038421363,0.2272016556374717,0.5286026789953053,0.36296263,False,False,0.12009940384213635,Moderate,0.35746014,0.12765316322173137,High,0.37994292,0.12009940384213635,Moderate,0.35746014,0.10645344673186691,Moderate,0.31684473,0.12009940384213635,Moderate,0.35746014
12086000127,Moderate,0.1021283546868589,0.1583467208503624,0.6449666537987243,0.5996178,False,True,0.10212835468685892,Moderate,0.59737915,0.09401166255754823,Moderate,0.5499022,0.10212835468685892,Moderate,0.59737915,0.10198240499937965,Moderate,0.59652543,0.10212835468685892,Moderate,0.59737915
12086000128,Low,0.0556152019407659,0.119389957897936,0.4658281393172968,0.3160736,False,True,0.055615201940765926,Low,0.32138517,0.062085079032786095,Low,0.35877284,0.055615201940765926,Low,0.32138517,0.05177250847828948,Low,0.2991793,0.055615201940765926,Low,0.32138517
12086000129,Low,0.0852638270024027,0.1305554335657489,0.6530852425951544,0.7041895,False,False,0.08526382700240269,Low,0.67317975,0.0768098878916345,Low,0.60643375,0.08526382700240269,Low,0.67317975,0.08457782718215447,Low,0.6677636,0.08526382700240269,Low,0.67317975
12086000130,Low,0.0629684183918964,0.1156883838719935,0.5442933532684622,0.34766325,False,False,0.06296841839189642,Low,0.35021043,0.06652263339686257,Low,0.36997783,0.06296841839189642,Low,0.35021043,0.05567735341991989,Low,0.30965984,0.06296841839189642,Low,0.35021043
12086000131,Low,0.0813318406489167,0.1486266373999974,0.54722250379674,0.4075215,False,False,0.08133184064891677,Low,0.4196288,0.08536462055650483,Low,0.44043577,0.08133184064891677,Low,0.4196288,0.07978084006807573,Low,0.41162646,0.08133184064891677,Low,0.4196288
12086000132,Moderate,0.1026265770843604,0.1896804053318534,0.5410499672056855,0.39422277,False,False,0.10262657708436042,Moderate,0.38433078,0.1048580784594115,Moderate,0.39268762,0.10262657708436042,Moderate,0.38433078,0.0956382602223076,Moderate,0.35815993,0.10262657708436042,Moderate,0.38433078
12086000145,Low,0.0373208088105792,0.0711897275267052,0.5242442991031141,0.57082665,False,True,0.03732080881057924,Low,0.59426606,0.03397469669141788,Low,0.5409853,0.03732080881057924,Low,0.59426606,0.03718850038310023,Low,0.5921593,0.03732080881057924,Low,0.59426606
12086000134,Moderate,0.0946051408582781,0.2020863497237363,0.4681421629299002,0.25532195,False,False,0.09460514085827815,Moderate,0.21378797,0.10227884583632621,Moderate,0.23112896,0.09460514085827815,Moderate,0.21378797,0.08497639340080976,Low,0.192029,0.09460514085827815,Moderate,0.21378797
12086000140,Low,0.0699263712169923,0.1451274678278041,0.4818272671852927,0.39210662,False,True,0.06992637121699234,Low,0.4148294,0.07394471215635152,Low,0.43866768,0.06992637121699234,Low,0.4148294,0.06375122316065472,Low,0.37819612,0.06992637121699234,Low,0.4148294
12086000222,Moderate,0.0920451022028491,0.1649915267782693,0.5578777528772599,0.60634047,False,False,0.09204510220284914,Moderate,0.6344833,0.08347666773471853,Low,0.57541955,0.09204510220284914,Moderate,0.6344833,0.0913621930660353,Moderate,0.6297759,0.09204510220284914,Moderate,0.6344833
12086000204,Moderate,0.1241906410166592,0.2158228580955505,0.5754285811638948,0.33636418,False,False,0.12419064101665923,Moderate,0.33479983,0.12946557742750567,High,0.3490203,0.12419064101665923,Moderate,0.33479983,0.10903013989678642,Moderate,0.29392934,0.12419064101665923,Moderate,0.33479983
